zipcode,current_value,forecasted_value,percent_change
97558,814072.0,726033.1062729555,-10.81
97562,878670.0,790142.335683969,-10.08
97557,735521.0,672893.4746963703,-8.51
97563,789435.0,725389.445607578,-8.11
97560,889936.0,822384.6552211319,-7.59
97566,933245.0,876034.6824347514,-6.13
97587,878883.0,829529.9614049895,-5.62
97577,950376.0,898646.7897585616,-5.44
97575,918498.0,871124.2753370763,-5.16
97585,741362.0,706159.9850416046,-4.75
97559,887025.0,845676.090567463,-4.66
97610,998991.0,956377.4627969157,-4.27
97565,1005398.0,965839.2876722987,-3.93
97564,830373.0,797803.6474105513,-3.92
97581,1414935.0,1367145.0279998875,-3.38
97568,1001836.0,968175.6851529045,-3.36
97569,906629.0,877890.2526636479,-3.17
97571,883598.0,869405.4736321601,-1.61
97570,1276358.0,1261577.8986099123,-1.16
97586,769590.0,765051.3677665354,-0.59
97576,1195832.0,1196201.6719329443,0.03
97572,937447.0,940564.5966265879,0.33
97567,997912.0,1012189.5095490674,1.43
97588,862181.0,906121.8115291161,5.1
97578,707290.0,752741.266761036,6.43
