zipcode,param,param_seasonal,aic
94102,"(2, 2, 1)","(2, 2, 1, 12)",4606.37828562333
94103,"(2, 2, 1)","(2, 2, 1, 12)",4604.785407694093
94104,"(2, 2, 1)","(2, 2, 1, 12)",2410.832118147516
94105,"(2, 2, 1)","(2, 2, 1, 12)",4726.29473203146
94107,"(2, 2, 1)","(2, 2, 1, 12)",4642.441325753233
94108,"(2, 2, 1)","(2, 2, 1, 12)",4812.931552908118
94109,"(2, 2, 1)","(2, 2, 1, 12)",4647.3938749322415
94110,"(2, 2, 1)","(2, 2, 1, 12)",5759.485643057702
94111,"(2, 2, 1)","(2, 2, 1, 12)",4791.052466558749
94112,"(2, 2, 1)","(2, 2, 1, 12)",4582.129437782429
94114,"(2, 2, 1)","(2, 2, 1, 12)",4703.524361323107
94115,"(2, 2, 1)","(2, 2, 1, 12)",4653.51893107572
94116,"(2, 2, 1)","(2, 2, 1, 12)",4566.574821545013
94117,"(2, 2, 1)","(2, 2, 1, 12)",4690.001201450261
94118,"(2, 2, 1)","(2, 2, 1, 12)",4684.591138835995
94121,"(2, 2, 1)","(2, 2, 1, 12)",4603.166011290259
94122,"(2, 2, 1)","(2, 2, 1, 12)",4550.784853174306
94123,"(2, 2, 1)","(2, 2, 1, 12)",4755.290719215596
94124,"(2, 2, 1)","(2, 2, 1, 12)",4361.479535362749
94127,"(2, 2, 1)","(2, 2, 1, 12)",4614.86092059852
94131,"(2, 2, 1)","(2, 2, 1, 12)",4652.67805889515
94132,"(2, 2, 1)","(2, 2, 1, 12)",4542.854478706073
94133,"(2, 2, 1)","(2, 2, 1, 12)",4706.163910649271
94134,"(2, 2, 1)","(2, 2, 1, 12)",4332.870346996831
94158,"(2, 2, 1)","(2, 2, 1, 12)",2688.498772380322
