zipcode,current_value,forecasted_value,percent_change
97558,1100702.0,1020749.8554838513,-7.26
97564,1308934.0,1240960.6318594618,-5.19
97562,1304574.0,1237034.4870749703,-5.18
97566,1466530.0,1395437.2156473505,-4.85
97557,1185630.0,1129624.0320636882,-4.72
97563,1502923.0,1452762.916225445,-3.34
97587,1334650.0,1290308.6093533582,-3.32
97568,1541337.0,1506119.7297344632,-2.28
97578,891894.0,880103.8282476551,-1.32
97569,1372370.0,1366260.2106257796,-0.45
97571,1395879.0,1391126.1818488955,-0.34
97559,1695012.0,1704531.6917732079,0.56
97585,1473693.0,1488525.975686061,1.01
97577,1689377.0,1711941.536302889,1.34
97586,1182842.0,1200348.707647342,1.48
97610,1513017.0,1538297.9395482116,1.67
97567,1137737.0,1157295.2782034858,1.72
97565,1398923.0,1425666.6121934892,1.91
97572,1421186.0,1454769.2851734604,2.36
97560,1706714.0,1748973.3701979646,2.48
97581,1488832.0,1525999.4077219376,2.5
97576,1439525.0,1479377.8245032153,2.77
97570,1395930.0,1441599.423827305,3.27
97588,956182.0,988721.2197906288,3.4
97575,1443658.0,1514661.9001731444,4.92
