zipcode,param,param_seasonal,aic
94102,"(2, 1, 0)","(2, 1, 0, 12)",4304.602116888669
94103,"(2, 1, 0)","(2, 1, 0, 12)",4271.650718310228
94104,"(2, 1, 0)","(2, 1, 0, 12)",2344.4694453550946
94105,"(2, 1, 0)","(2, 1, 0, 12)",4423.517827811545
94107,"(2, 1, 0)","(2, 1, 0, 12)",4325.720690312978
94108,"(2, 1, 0)","(2, 1, 0, 12)",4501.825620207042
94109,"(2, 1, 0)","(2, 1, 0, 12)",4330.374357152814
94110,"(2, 1, 0)","(2, 1, 0, 12)",4306.6450648436385
94111,"(2, 1, 0)","(2, 1, 0, 12)",4479.423245302584
94112,"(2, 1, 0)","(2, 1, 0, 12)",4145.84338056434
94114,"(2, 1, 0)","(2, 1, 0, 12)",4378.484641762236
94115,"(2, 1, 0)","(2, 1, 0, 12)",4340.292756368761
94116,"(2, 1, 0)","(2, 1, 0, 12)",4172.391699141797
94117,"(2, 1, 0)","(2, 1, 0, 12)",4372.251674576593
94118,"(2, 1, 0)","(2, 1, 0, 12)",4310.300963422703
94121,"(2, 1, 0)","(2, 1, 0, 12)",4239.506786657962
94122,"(2, 1, 0)","(2, 1, 0, 12)",4221.827725344084
94123,"(2, 1, 0)","(2, 1, 0, 12)",4425.562846726758
94124,"(2, 1, 0)","(2, 1, 0, 12)",4030.40105883625
94127,"(2, 1, 0)","(2, 1, 0, 12)",4285.031313173131
94131,"(2, 1, 0)","(2, 1, 0, 12)",4341.127563626576
94132,"(2, 1, 0)","(2, 1, 0, 12)",4203.857705763112
94133,"(2, 1, 0)","(2, 1, 0, 12)",4357.361893398618
94134,"(2, 1, 0)","(2, 1, 0, 12)",4139.484481395279
94158,"(2, 1, 0)","(2, 1, 0, 12)",2549.126646197051
